date,food name,Ingredients,Nutrition
2021-07-06,nestl kit kat chocol block - mint choc chip,,
2021-07-06,gardenia wholem bun - hotdog,"Wheat Flour (Unbleached), Sucrose, Wholemeal Wheat Flour, Vegetable Oil (Palm), Baker's Yeast, Common Salt, Emulsifiers, Thiamne (Vitamin B1), Riboflavin (Vitamin B2), Niacin (Vitamin B3), Iron (Hydrogen Reduced Iron), Calcium Propionate,• Any remaining flour seen on the bun is part of baking process,• May contain traces of natural grain parts such as husks","Attributes,Per Serving (55g),Energy,139kcal
,Protein,4.5g
,Total Fat,2.2g
,Saturated Fat,1.2g
,Trans Fat,0g
,Cholesterol,0mg
,Carbohydrate,27.5g
,Dietary Fibre,2.3g
,Sodium,210mg
"
2021-07-06,fairpric potato chip - barbecu,"• 100% fresh potatoes,• Blended with premium barbecue seasoning,• Store in a cool dry place, away from direct sunlight and heat,• Best consumed after opening to maintain crispness","Attributes,Per Serving,Energy,109kcal,Protein,1.4g,Total Fat,6.6g,Saturated Fat,3.1g,Trans Fat,0g,Cholesterol,0mg,Carbohydrate,11.1g,Total Sugar,0.3g,Dietary Fibre,0.5g,Sodium,71mg"
2021-07-06,myojo spici instant noodl - mala xiang guo,,
2021-07-06,carman' protein bar - cooki & cream,,
2021-07-06,california creameri tortilla chip - nacho chees sauc,"• Nacho Cheese Sauce: Cheese Whey, Partially Hydrogenated Soybean Oil, Modified Food Starch (E1442), Cheese [Cheddar and Blue Cheese (Cultured Milk, Salt, Enzymes)] (1%), Jalapeno Peppers (1%), Sodium Phosphate, Salt, Maltodextrin, Monosodium Glutamate,Vinegar, Natural Flavors, Mono and Diglycerides, Sodium Stearoyl Lactylate, Color Added (including Caramel Colour, Yellow 5 and Yellow 6) (E102, E110, E150D, E160B, E171),• Nacho Chips: Whole Stoneground Corn treated with Lime, Vegetable Palm Oil, Water, Salt, Gardenia Yellow","Attributes,Per Serving (99g),Calories,120kcal,Cholesterol,0mg,Total fat,9g,Saturated Fat,2g,Trans Fat,3g,Sodium,780mg,Carbohydrate,11g,Dietary Fibre,0g,Sugars,4g,Protein,1g,Vitamin A,0%,Vitamin C,200%,Calcium,6%,Iron,0%"
2021-07-06,gardenia bun - hotdog,"• Please store in a cool and dry place,• For prolonged storage, keep in freezer immediately upon purchase","Attributes,Per Serving (55g),Energy,156kcal
,Protein,4.4g
,Total Fat,2.4g
,Saturated Fat,1.2g
,Trans Fat,0g
,Cholesterol,0mg
,Carbohydrate,29.6g
,Dietary Fibre,0.8g
,Sodium,245.6mg
,Calcium,37.3mg
,Iron,2.8mg
"
2021-07-06,kettl brand potato chip - sea salt,"• No MSG,• No preservatives,• Gluten free,• Non-GMO project verified,• Made with natural ingredients","Attributes,Per Serving (100g),Energy,534.6kcal
,Protein,8g
,Total Fat,32.1g
,Saturated Fat,3.6g
,Trans Fat,0g
,Carbohydrate,56.3g
,Dietary Fibre,5.4g
,Sugars,0g
,Sodium,414mg
,Cholesterol,0mg
,Potassium,1541.4mg
"
2021-07-06,tao kae noi grill seawe roll - classic,"• Made from the highest quality seaweed,• Processed using all natural ingredients to preserve the wholesome goodness of seaweed,Seaweed, Sugar, Spice (Shiitake, Cinnamon, Clove, Pepper), Hydrolyzed Plant Protein, Fermented Soy Sauce, Flavour Enhancer (E631, E627), Salt,• This product contains Peanut, Mustard, Celery, Soy and Wheat","Attributes,Per Serving (3.6g),Energy,10kcal,Cholesterol,0mg,Protein,1g,Total Fat,0g,Saturated Fat,0g,Carbohydrate,1g,Sugar,0g,Dietary Fibre,0.2g,Sodium,25mg"
2021-07-06,gardenia bun - hamburg,"• So good you can even eat it on its own,• Freshness guaranteed: Estimated product life for 3 days including delivery day,• Please store in a cool and dry place,• For prolonged storage, keep in freezer immediately upon purchase","Attributes,Per Serving (62.5g),Energy,178kcal
,Protein,5g
,Total Fat,2.8g
,Saturated Fat,1.4g
,Trans Fat,0g
,Cholesterol,0mg
,Carbohydrate,33.7g
,Dietary Fibre,0.9g
,Sodium,279.1mg
,Calcium,42.3mg
,Iron,3.2mg
"
2021-07-06,kettl brand potato chip - jalapeno,,"Attributes,Per Serving (28g),Energy,0kJ,Carbohydrate,16g,Protein,2g,Total Fat,9g,Saturated Fat,0g,Dietary Fibre,1g,Sodium,180mg,Salt,0g,Sugars,1g"
2021-07-06,tyrrel hand cook potato chip - sweet chili & red pepper,,"Attributes,Per Serving (30g),Energy,569kJ,Sugars,1.1g,Total Fat,6.8g,Saturated Fat,0.8g,Carbohydrate,16.3g,Protein,1.8g,Salt,0.5g"
2021-07-06,jelli joy jelli - assort flavour (sticks),,"Attributes,Per Serving (20g),Energy,55.06kJ,Protein,0g,Total Fat,0.02g,Saturated Fat,0g,Cholesterol,0mg,Carbohydrate,3.2g,Dietary Fibre,0g,Sugars,2.9g,Sodium,9.4mg"
2021-07-06,khong guan biscuit - butter coconut,"• Uses desiccated coconut to produce,• Biscuit is cripsy , crunchy, light, golden brown colour,• No objectionable flavour and taste","Attributes,Per Serving (30g),Energy,160kcal,Monounsaturated Fat,0g,Protein,2g,Total Fat,8g,Saturated Fat,5g,Polyunsaturated Fat,0g,Trans Fat,0g,Cholesterol,5 mg,Carbohydrate,19g,Dietary Fibre,1g,Sodium,85mg"
2021-07-06,mission wrap - origin,"• Great for hot or cold wraps,• Suitable for toasting or grilling,• Store in cool and dry place,• Once open refrigerate and use within 3 days",
2021-07-06,kettl brand krinkl cut potato chip - salt & pepper,,"Attributes,Per Serving (100g),Energy,512.7kcal,Trans Fat,0g,Protein,8.1g,Total Fat,32.1g,Saturated Fat,3.6g,Carbohydrate,56.6g,Dietary Fibre,5.32g,Sugars,0g,Sodium,584.4mg,Cholesterol,0mg,Potassium,1488.7mg"
2021-07-06,tostito tortilla chip - origin restaur style,,"Attributes,Per Serving (28g),Energy,140kcal,Total Fat,7g,Saturated Fat,1g,Trans Fat,0g,Cholesterol,0mg,Sodium,115mg,Carbohydrate,19g,Dietary Fibre,1g,Sugars,0g,Protein,2g,Vitamin A,0%,Vitamin C,0%,Calcium,2%,Iron,2%"
2021-07-06,nature' wonder nut - bake cashew,"• High in dietary fibre & source of protein ,• Naturally Cholesterol Free & Trans Fat Free ,• The perfect ingredients for a healthy heart and strong muscles","Attributes,Per Serving 30g ,Energy,187kcal,Protein,5.8g,Total Fat,14.1g,Saturated Fat,2.8g,Trans Fat,0g,Cholesterol,0mg,Carbohydrate,9.1g,Total Sugar,1.4g,Dietary Fibre,1.1g,Sodium,2mg"
2021-07-06,singlong season seawe - perilla oil,,
2021-07-06,tao kae noi big bang grill seawe - classic,"• Keep in a cool and dry place ,• Avoid direct sunlight and high temperature,Seaweed (95%), Sugar (2.25%), Spice (Shiitake, Cinnamon, Clove, Pepper) (0.85%), Hydrolysed Plant Protein (0.64%), Fermented Soya Sauce (0.55%), Flavour Enhancer (E631, E627) (0.36%), Salt (0.35%),• This product may contain peanut, mustard, celery, soya and wheat","Attributes,Per Serving (6g),Energy,25kcal,Total Fat,0g,Saturated Fat,0g,Trans Fat,0g,Cholesterol,0mg,Sodium,65mg,Carbohydrate,3g,Dietary Fibre,2g,Sugars,1g,Protein,2g,Vitamin A,2%,Vitamin C,10%,Calcium,0%,Iron,6%"
2021-07-06,fairpric wrap - wholem,"• Oven:,1. Pre-heat oven to 180°C ,2. Remove wrap from pack ,3. Cover the wrap in foil and place on baking tray ,4. Heat for 3 - 4 minutes,• Grill:,1. Pre-heat grill to medium heat,2. Remove wrap from pack,3. Place on grill tray and grill for 1 minute on each side,• Microwave:,1. Remove wrap from pack and place on microwavable plate,2. Microwave each wrap for 20 - 30 seconds on high, or all the wraps for 1 minute,• Store in a cool and dry place ,• Once opened, refrigerate and consume within 3 days or keep frozen at -18°C and consume within 3 months ,• If kept frozen, defrost before use and do not refreeze after defrost,Flour (Wheat Flour, Wholemeal Flour (9.3%)), Water, Vegetable Shortening (Palm Oil with Vitamin E), Sugar, Salt, Baking Powder (E450i, E500ii, Corn Starch, E341i), Acidulant (E297), Calcium propionate, Sodium Bicarbonate and Baker's Yeast,• Allergen advice: Contains gluten,• May contain soy","Attributes,Per Serving (45g),Energy,134kcal,Trans Fat,0g,Protein,3.6g,Total Fat,3g,Saturated Fat,1.6g,Cholesterol,0mg,Carbohydrate,23.2g,Sugars,1.7g,Dietary Fibre,1.5g,Sodium,280mg"
2021-07-06,tyrrel hand cook potato chip - sea salt (lightly),,"Attributes,Per Serving (30g),Energy,627kJ,Sugars,0.6g,Total Fat,7.3g,Saturated Fat,0.7g,Carbohydrate,14.7g,Protein,1.8g,Salt,0.2g"
2021-07-06,kettl brand potato chip - honey dijon,"• No MSG and preservatives,• Non-GMO oil and potatoes,• Made with all natural real food ingredients,• Bold flavour and hearty crunch and taste so great because they're made from finest potatoes, natural oil and craft cooking method","Attributes,Per Serving 28g (About 13 chips),Calories,150kcal,Calories from Fat,80kcal,Total Fat,9g,Saturated Fat,1g,Trans Fat,0g,Polyunsaturated Fat,1g,Monounsaturated Fat,7g,Cholesterol,0mg,Sodium,140mg,Potassium,400mg,Carbohydrate,16g,Dietary Fibre,1g,Sugars,1g,Protein,2g,Vitamin A,0mg"
2021-07-06,mission wrap - wholegrain,"Mission Wraps let you turn ordinary dishes into culinary creations the whole family will love, in just minutes.• Soft and pliable when heated making it easy to wrap and roll anything from chicken rice to last night’s leftovers,• Great for hot or cold wraps,• Suitable for toasting or grilling,• Store in cool and dry place,• Once open refrigerate and use within 3 days","Attributes,Per Serving (45g),Energy ,169kcal,Sugars,2.2g,Protein ,3.5g,Carbohydrate,30.7g,Dietary Fibre,1.8g,Total Fat,4.1g,Saturated Fat ,2.1g,Polyunsaturated Fat,0.5g,Monounsaturated Fat,1.4g,Trans Fat,0g,Cholesterol,0mg,Sodium,410mg"
2021-07-06,s&w premium veget - whole kernel corn,,"Attributes,Per Serving (125g),Energy,0kJ,Carbohydrate,11g,Protein,2g,Total Fat,1g,Saturated Fat,0g,Dietary Fibre,3g,Sodium,360mg,Salt,0g,Sugars,7g"
2021-07-06,lay' potato chip - classic,,
2021-07-06,riang london chocol almond,,
2021-07-06,khong guan sandwich biscuit - lemon puff,,"Attributes,Per Serving (22g),Calories,116kcal,Calories from Fat,54kcal,Protein,1g,Total Fat,6g,Saturated Fat,3g,Trans Fat,0g,Cholesterol,0mg,Sodium ,117mg,Carbohydrate,13g,Dietary Fibre,< 1g,Sugars,4g,Iron ,2%"
2021-07-06,riang cooki - cashew nut,,"Attributes,Per Serving (10g),Energy,55.4kcal
,Protein,0.1g
,Total Fat,3.3g
,Saturated Fat,0.8g
,Carbohydrate,6.3g
,Sugars,2.3g
,Sodium,11.2g
"
2021-07-06,tulip luncheon meat - pork (classic),,
2021-07-06,extra taggiasch pate with extra virgin oliv oil,,"Attributes,Per Serving (),Salt,2g,Sugars,5g 
,Protein,0.8g 
,Carbohydrate,5.9g 
,Fat,0.5g 
,Fiber,1.4g 
"
2021-07-06,extra taggiasch oliv pit,,"Attributes,Per Serving (),Salt,2g,Sugars,5g 
,Protein,0.8g 
,Carbohydrate,5.9g 
,Fat,0.5g 
,Fiber,1.4g 
"
2021-07-06,isola doro hot pepper stuf with tuna In oliv oil,,"Attributes,Per Serving (),Salt,2.1g,Sugars,5g 
,Carbohydrate,0.6g 
,Fat,6.6g 
,Protein,9.2g 
,Saturates,1.2g 
,Fiber,2.5g 
"
2021-07-06,La finestra sul cielo organ crunchi with oat and quinoa,,
2021-07-06,La finestra sul cielo organ crunchi oat flake and berri,,
2021-07-06,La finestra sul cielo organ corn flake,,
2021-07-06,La finestra sul cielo org crunchi oat quinoa and blueberri,,
2021-07-06,La finestra sul cielo organ hummu with curcuma,,
2021-07-06,La finestra sul cielo organ hummu,,
2021-07-06,tesco block chocol - rich coffe (milk),,
2021-07-06,khong guan assort biscuit - grade 1,,"Attributes,Per Serving (30g),Calories,140cal,Calories from Fat,45cal,Total Fat,5g,Saturated Fat,3g,Cholesterol,0mg,Sodium,105mg,Carbohydrate,22g,Dietary Fibre,0g,Sugars,5g,Protein,2g"
2021-07-06,loacker classic mini crispi wafer - cocoa & milk,"Coconut Oil, Wheat Flour, Glucose Syrup, Whey Powder, (Milk), Dextrose, Skimmed Milk Powder (6%), Sugar, Soy Flour, Whole Milk Powder 4%, Barley Malt Extract, Fat Reduced Cocoa (2%), Hazelnuts, Raising Agents, (Sodium Hydrogen Carbonate, Disodium Diphosphate), Salt, Emulsifier Soy Lecithins, Bourbon Vanilla Pods, Spices,• May contain peanuts and almonds","Attributes,Per Serving (100g),Energy,517kcal
,Protein,8.9g
,Carbohydrate,57.7g
,Sugars,28.1g
,Total Fat,27.9g
,Saturated Fat,23.5g
,Sodium,192mg
"
2021-07-06,La finestra sul cielo organ hummu with ginger,,
2021-07-06,crusty' salt egg fish skin - tom yum,"Pacific Dory Fish Skin, Salted Eggs, Curry Leaves, Vegetable Oil, Chili Margarine, Milk, Tom Yum Seasoning, Salted Egg Premix, Sugar and Monosodium Glutamate (E621),• Contains egg, fish, milk and traces of crustaceans","Attributes,Per Serving (100g),Energy,610kcal,Protein,29.9g,Total Fat,46.5g,Saturated Fat,22.1g,Trans Fat,0.1g,Cholesterol,234mg,Carbohydrate,17.9g,Sugars,10.1g,Dietary Fibre,0.1g,Sodium,1683mg"
2021-07-06,aaa pickl mustard with chili,,
2021-07-06,sunsat fruit dri apricot,,
2021-07-06,sunsat sunsat fruit raisin 1 X 6S,,
2021-07-06,strepsil chesti cough lozeng,"• For pain associated with a more troublesome sore throat,• Fights bacterial throat infections and numbs pain in throat,• Clears airways,• Relieve chesty cough by dissolving mucus,Directions:,• For adults:,1. Up to 6 lozenges to be sucked per day, with a maximum of 2 lozenges per dose,• For children 6 - 12 years:,1. Not recommended unless under the advice of a healthcare professional,• For children under 6 years:,1. Not indicated for children under 6 years,2. Do not exceed stated dose,• Others:,1. Ask a doctor first before taking,2. Stop use and ask doctor is experience any side effects or symptoms last longer than 3 days,3. If pregnant or breast-feeding, ask a health professional before use,4. In case of overdose, get medical help or contact a Poison Control Centre right away,• Keep out of reach of children,• Store in a dry place below 30°C","Attributes,Per Serving,Ambroxol Hydrochloride,15mg"
2021-07-06,schar chocol o' cooki - gluten free 165 G,,
2021-07-06,batak hous singapor houten tapioca chip - chili,"• Directions:,Store in a cool, dry area at room temperature,• Caution:,Prolonged exposure to direct sunlight and heat will compromise product quality, Tapicoa, Sugar, Palm Oil, Chili, Salt, Shallot, Shrimp, Garlic, Tamarind, Acetic Acid, Ginger, Food Color E124 and E110,• Allergen advice: Contains shrimp,• Produced in a facility that also handles crustacean, fish, nuts, eggs and wheat,• Product may contain traces of nuts and charred bits due to high temperature cooking process",
2021-07-06,schar schar milli friend cooki in shape - gluten free,,
2021-07-06,graciou good corn freez dri,,
2021-07-06,"schar salti, salt cracker - gluten free",,
2021-07-06,maintal bio organ fruit spread rosehip,,
2021-07-06,maintal bio organ fruit spread raspberri,,
2021-07-06,fortun premium abalon,,
2021-07-06,seitenbach muesli low sugar,,
2021-07-06,schar milli griss and giocc - gluten free 52 G,,
2021-07-06,La finestra sul cielo organ quinoa flake,,
2021-07-06,casta gourmet' terrin set assorted-bi culina,,
2021-07-06,ortiz bonito tuna In oliv oil - chilled-bi culina,,
2021-07-06,seitenbach muesli natur bodi power,,
2021-07-06,maintal bio organ fruit spread forest berri,,
2021-07-06,seitenbach vegan burger mix,,
2021-07-06,imperi brand abalon - sichuan fresh green pepper mala,,
2021-07-06,ortiz premium bonito tuna In oliv oil - chilled-bi culina,,
2021-07-06,sincero premium dark chocol - assort berri,"• Sincero Dark Chocolate - Raisin: Sugar, Cocoa Butter, Cocoa Mass, Cocoa Powder, Milk Powder, Raisins, Soy Lecithin (E322), Glazing Agent (E904) & Vanillin. ,• Sincero Dark Chocolate - Blueberries: Sugar, Cocoa Butter, Cocoa Mass, Cocoa Powder, Milk Powder, Dried Blueberries, Soy Lecithin (E322), Glazing Agent (E904) & Vanillin. ,• Sincero Dark Chocolate - Cranberries: Dried Cranberries, Sugar, Cocoa Mass, Cocoa Butter, Cocoa Butter, Cocoa Powder, Milk Powder, Vegetable Oil, Gum Arabic E414 (Coating Agent), Shellac E904 (Glazing Agent), Soy Lecithin E322 (Emulsifier) & Vanillin. ,• Sincero Dark Chocolate - Mixed Berries: Sugar, Cocoa Mass, Dried Cranberries, Raisins, Dried Cherries, Dried Blueberries, Cocoa Butter, Cocoa Powder, Milk Powder, Vegetable Oil, Gum Arabic E414 (Coating Agent), Glazing Agent (E904), Soy Lecithin E322 (Emulsifier), Vanillin. ,• Contains: Milk and Soy ingredients.,• Manufactured at facilities that use Tree Nuts and Wheat.","Attributes,Per Serving (25g),Energy,575kJ
,Energy,137kcal
,Total Fat,5.6g
,Saturated Fat,3.7g
,Trans Fat,0g
,Carbohydrate,19.8g
,Sugar,17.4g
,Protein,2.1g
,Sodium,5mg
"
2021-07-06,graciou good okra freez dri,,
2021-07-06,graciou good broccoli freez dri,,
2021-07-06,graciou good durian freez dri,,"Attributes,Per Serving (25)"
2021-07-06,foodsterr usa organ walnut,,
2021-07-06,graciou good longan freez dri,,"Attributes,Per Serving (25)"
2021-07-06,way premium food classic scallion noodl (msg-free),,
2021-07-06,foodsterr usa reduc sugar sweeten dri cranberri,,
2021-07-06,alter eco organ deep dark super blackout chocol - 90% cocoa,,"Attributes,Per Serving (38),Protein,4g,Total Fat,22g,Carbohydrate,11g,Sodium,0mg"
2021-07-06,maintal bio organ fruit spread sour cherri,,
2021-07-06,"seitenbach porridge, 35% fruit content",,
2021-07-06,anjalichocolat chocol bar - plain milk chocol,,
2021-07-06,anjalichocolat chocol bar - extra dark 80%,,
2021-07-06,dipasa tahini light brown savouri spread - by foodsterr,,
2021-07-06,imperi brand abalon - fragrant spici,,
2021-07-06,natur good d'lush peppermint choc biscuit,,
2021-07-06,anjalichocolat gift box of 9 bonbon & truffl - classic,,
2021-07-06,anjalichocolat gift box of 16 bonbon & truffl - SG lah,,
2021-07-06,shi Le Po fish skin cracker - black pepper crab,,"Attributes,Per Serving (80g),Calories,480kcal
,Total Fat,35g
,Saturated Fat,18g
,Trans Fat,0g
,Monounsaturated Fat,13g
,Polyunsaturated Fat,4g
,Cholesterol,45mg
,Sodium,650mg
,Total Carbohydrate,20g
,Dietary Fibre,2g
,Total Sugars,2g
,Protein,23g
,Vitamin D,0g
,Calcium,45.4mg
,Iron,10.5mg
,Potassium,105mg
"
2021-07-06,alter eco organ deep dark chocol sea salt - 70% cocoa,,"Attributes,Per Serving (40),Protein,3g,Total Fat,17g,Carbohydrate,19g,Sodium,70mg"
2021-07-06,anjalichocolat gift box of 4 bonbon & truffl - SG lah,,
2021-07-06,anjalichocolat gift box of 4 bonbon & truffl - classic,,
2021-07-06,east forest kenari nut - unsalt,,
2021-07-06,camel natur pistachio,"• Source of Dietary Fibre,• Naturally Trans Fat-Free ,• Naturally Cholesterol-Free ,• Very Low in Sodium","Attributes,Per Serving (50g),Energy,325kcal
,Protein,10.9g
,Total Fat,29.8g
,Saturated Fat,3.5g
,Trans Fat,0g
,Cholesterol,0g
,Carbohydrate,3.4g
,Sugars,3.4g
,Dietary Fibre,3.6g
,Sodium,108mg
"
2021-07-06,mtr readi To eat pongal - By sonnamera,"- Ready to eat,- Heat & Eat,- No added preservatives,- Mild spiciness,- No hydrogenated fats,- No artificial colour,1) Immerse the inner unopened pouch in boiling water for about 5 minutes. Remove, cut open, and serve hot. OR ,2) Transfer the contents into a container. Heat on medium flame for about 2 minutes while stirring and serve hot. OR ,3) Transfer the contents into a microwave safe bowl. Microwave on high power for 1-2 minutes. serve hot",
2021-07-06,nature' bakeri gluten free raspberri fig bar,,"Attributes,Per Serving (57),Protein,2g,Total Fat,5g,Carbohydrate,38g,Sodium,75mg"
2021-07-06,anjalichocolat gift box of 9 bonbon & truffl - SG lah,,
2021-07-06,slim secret - morn rev up! protein bar,,"Attributes,Per Serving (40),Energy, 612 kL,Protein, Total 11.7,Fat, Total  4.7, Saturated, 3.2 g,Carbohydrate, 7.8 g, Sugars, 2.6 g,Dietary Fibre, Total 4.5, Polydextrose, 4.2 g,Sodium, 134 mg,Maltitol, 5.0 g,Glycerol, 0.9 g"
2021-07-06,slim secret night-tim bing buster! protein bar,,"Attributes,Per Serving (40),Energy, 604 kL,Protein, Total 11.7,Fat, Total  4.5, Saturated, 3.3 g,Carbohydrate, 8.2 g, Sugars, 5.9 g,Dietary Fibre, Total 4.3, Polydextrose, 4.1 g,Sodium, 137 mg,Maltitol, 4.9 g,Glycerol, 0.9 g"
2021-07-06,natur good d'lush orang choc biscuit,,
2021-07-06,east forest kenari nut - sea salt,,
2021-07-06,slim secret mintabol boost! protein bar,,"Attributes,Per Serving (40),Energy, 616 kL,Protein, Total 11.7, Gluten, 0 mg,Fat, Total  4.3, Saturated, 2.8 g,Carbohydrate, 10.0 g, Sugars, 2.8 g,Dietary Fibre, Total 4.7, Polydextrose, 4.2 g,Sodium, 123 mg,Maltitol, 3.4 g,Glycerol, 1.0 g"
2021-07-06,anjalichocolat gift box of 16 bonbon & truffl - classic,,
2021-07-06,slim secret choc love bite with salt caramel crisp,,"Attributes,Per Serving (36),Energy, 544 kL,Protein, Total 7.4, Gluten, 0 mg,Fat, Total  9.4, Saturated, 6.1 g,Carbohydrate, 0.6 g, Sugars, 0.3 g,Dietary Fibre, 7.1 g, Polydextrose, 6.4 g,Sodium, 32.4 mg,Isomalt, 2.2 g,Erythritol, 7.1 g"
2021-07-06,slim secret afternoon snack attack! protein bar,,"Attributes,Per Serving (40),Energy, 616 kL,Protein, Total 11.8,Fat, Total  4.7, Saturated, 3.2 g,Carbohydrate, 7.9 g, Sugars, 2.0 g,Dietary Fibre, Total 4.5, Polydextrose, 4.2 g,Sodium, 136 mg,Maltitol, 5.0 g,Glycerol, 0.9 g"
2021-07-06,manli singapor merlion dri mango strip - milk chocol,,
2021-07-06,slim secret choc love bite dark chocol with mint crisp,,"Attributes,Per Serving (36),Energy, 626.4 kL,Protein, 2 g,Carbohydrate, 2.1 g,Sugar, 0 g,Fibre, 9.5 g,Fat, 12.6,Saturated Fat, 8.0 g,Sodium, 1.4 mg"
2021-07-06,vegan hous organ sprout walnut,,"Attributes,Per Serving (28),Total fat,18g"
2021-07-06,vegan hous organ sprout pumpkin seed,,"Attributes,Per Serving (28),Total fat,14g"
2021-07-06,vegan hous organ sprout apricot kernel,,"Attributes,Per Serving (28),total fat,12g"
2021-07-06,haldiram - rasgulla,,"Attributes,Per Serving (28),Protein,8.52g"
2021-07-06,shahi golden garlic pickl,,
2021-07-06,vegan hous organ sprout sunflow seed,,"Attributes,Per Serving (28),Total fat,14g"
2021-07-06,black gold black truffl slice with extra virgin oliv oil,,"Attributes,Per Serving (),Salt,8g,Per,100g 
,Protein,2g 
,Carbohydrate,3.8g 
,Fat,22g 
,Saturates,3.3g 
,Sugar,2.6g 
"
2021-07-06,black gold black truffl grate with extra virgin oliv oil,,"Attributes,Per Serving (),Salt,8g,Per,100g
,Protein,2g 
,Carbohydrate,3.8g 
,Fat,22g 
,Saturates,3.3g 
,Sugar,2.6g 
"
2021-07-06,isola doro yellowfin tuna chunk with sunflow oil In jar,,"Attributes,Per Serving (),Salt,1.5g,Per,100g 
,Fat,34.3g 
,Protein,18.3g 
,Saturates,5.3g 
"
2021-07-06,pitturi green pit oliv pit In brine,,"Attributes,Per Serving (),Salt,2.4g,Per,100g 
,Carbohydrate,3.84g 
,Protein,1.03g 
,Sugar,0.54g 
,Fat,15.32g  
,Saturates,2.3g  
"
2021-07-06,pitturi black leccino oliv with stone In brine,,"Attributes,Per Serving (),Salt,2.4g,Per,100g 
,Carbohydrate,3.84g 
,Protein,1.03g 
,Sugar,0.54g 
,Fat,15.32g  
,Saturates,2.3g  
"
2021-07-06,asahi mintia calpi,,
2021-07-06,granovib bar - dark chocol and almond,,
2021-07-06,asahi mintia dri hard,,
2021-07-06,manli singapor merlion butter cooki - mango,,
2021-07-06,slim secret craving-crusher! protein bar,,"Attributes,Per Serving (40),Energy, 620 kL,Protein, Total 11.8,Fat, Total  4.4, Saturated, 2.9 g,Carbohydrate, 10.0 g, Sugars, 3.1 g,Dietary Fibre, Total 4.8, Polydextrose, 4.8 g,Sodium, 126 mg,Maltitol, 3.3 g,Glycerol, 1.0 g"
2021-07-06,asahi mintia wild and cool,,
2021-07-06,granovib granola - dark chocol / banana,,
2021-07-06,granovib granola - almond & grain,,
2021-07-06,granovib fit - honey,,
2021-07-06,granovib bar cranberri crunchi oat,"- This revolutionary bar from Granovibes is not only nutritious and filling - packed with protein, fiber and Organic* superfood such as *Organic White Quinoa, *Organic Chia Seeds and Flax Seed which are good source of plant based protein, Omega-3, Omega-6 fatty acid.
,-It is also tasty and totally vegan, perfect to grab on the go or as a snack. Granovibes bar is oil free, high in protein and fiber, made with whole plant-based food, 61% nuts and seeds and containing only 1.9% coconut sugar, a Low-Glycemic Sweetener.
,-130kcal per bar, trans fat-free, egg free and dairy free.",
2021-07-06,annalisa red kidney bean,,"Attributes,Per Serving (),Salt,0.74g,Per,100g 
,Protein,8.5g 
,Carbohydrate,15.2g 
,Fat,0.8g 
,Sugars,0.8g 
"
2021-07-06,granovib ve-pro bar - dark chocol,,
2021-07-06,pitturi green calabres season oliv with stone,,"Attributes,Per Serving (),Salt,2.4g,Per,100g 
,Carbohydrate,3.84g 
,Protein,1.03g 
,Sugars,0.54g 
,Fat,15.32g  
,Saturates,2.29g  
"
2021-07-06,granovib fit - quinoa,,
2021-07-06,granovib ve-pro bar - matcha,,
2021-07-06,biona organ mix nut butter,,
2021-07-06,biona organ hazelnut butter,,
2021-07-06,biona organ cashewnut butter,,
2021-07-06,biona organ peanut butter crunchi with sea salt,,
2021-07-06,biona organ peanut butter smooth with sea salt,,
2021-07-06,granovib ve-pro bar - mix fruit,,
2021-07-06,blue hill blackberri & leatherwood raw honey,,
2021-07-06,blue hill blackberri & meadow raw honey,,
2021-07-06,blue hill leatherwood & meadow raw honey,,
2021-07-06,granovib fit - mix fruit,,
2021-07-06,granovib ve-pro bar - cinnamon,,
2021-07-06,gardensc raw brazil nut,,
2021-07-06,biona organ peanut butter smooth with sea salt,,
2021-07-06,blue hill leatherwood raw honey,,
2021-07-06,blue hill leatherwood raw honey,,
2021-07-06,blue hill blackberri raw honey,,
2021-07-06,black gold black truffl grate with extra virgin oliv oil,,"Attributes,Per Serving (),Salt,8g,Per,100g 
,Protein,2g 
,Carbohydrate,3.8g 
,Fat,22g 
,Saturates,3.3g 
,Sugar,2.6g 
"
2021-07-06,gardensc natur dri apricot,,
2021-07-06,gardensc delux mix tail,,
2021-07-06,gardensc freez dri broccoli,,
2021-07-06,gardensc freez dri banana & peach,,
2021-07-06,gardensc freez dri pineappl,,
2021-07-06,gardensc tart cherri,,
2021-07-06,jamwork raspberri jam,,
2021-07-06,jamwork raspberri and rhubarb jam,,
2021-07-06,blue hill leatherwood raw honey,,
2021-07-06,biona organ almond butter - crunchi,,
2021-07-06,australian By natur fresh raw honeycomb,,
2021-07-06,gardensc raw walnut,,
2021-07-06,biona organ peanut butter crunchi with sea salt,,
2021-07-06,cere organ dri cranberri,,
2021-07-06,mamami organ manuka raisin,,
2021-07-06,thai richi raw wild honey (bucket),,
2021-07-06,thai richi raw wild honey (bucket),,
2021-07-06,organ wave organ black sesam past,,
2021-07-06,thai richi raw lyche honey (bucket),,
2021-07-06,thai richi bee propoli,,
2021-07-06,thai richi pure wild honey (wooden box),,
2021-07-06,tai won seawe chip - pumpkin seed,,
2021-07-06,amphora organ soft dri turkish fig carton (6x170g),,
2021-07-06,CB abalon gift set A,,
2021-07-06,CB premium five fortun happi gift set,,
2021-07-06,CB australia wild can abalon 2pc,,
